PPARA	PRKACA	1.2543886339046562
PPARA	ADIPOR2	1.3217227548845432
HMGCS1	PPARA	1.2686919575761963
APOA1	PPARA	1.297974946664017
APOA1	RXRA	1.731255955887138
APOA2	PPARA	1.3588812666746477
APOA2	RXRA	1.7171182971155712
PLTP	PPARA	1.2625307364535787
PLTP	RXRA	1.5104140192163205
ME1	RXRA	1.4626138706899654
FADS2	RXRA	1.3145925925925925
NR1H3	RXRA	1.373457335486787
DBI	RXRA	1.4280112958952482
FABP1	PPARA	1.2783486180974133
FABP1	RXRA	1.6686466707201932
LPL	RXRA	1.2603519823683844
ACSL1	PPARA	1.30999765927755
ACSL1	RXRA	1.5346445006312657
ACSL1	CPT1A	1.5821423233227385
ACSL3	PPARA	1.2469903297819724
ACSL3	RXRA	1.3016424562101108
ACSL3	CPT1A	1.2940538698728454
ACSL4	RXRA	1.2040443200438309
ACSL4	CPT1A	1.2249901361816238
EHHADH	RXRA	1.2865185185185186
ACAA1	PPARA	1.2311930267325226
ACAA1	RXRA	1.5760343849953828
SCP2	PPARA	1.2211255142434627
SCP2	RXRA	1.5300752363966041
CPT1A	PPARA	1.5064976509270913
CPT1A	RXRA	1.9264806369097525
CPT1A	CREB3	1.206730277512278
CPT1A	CREB1	1.3331559104230082
CPT1A	CREB3L2	1.2930145348575497
CPT1A	CREB5	1.515464472916045
CPT1A	STAT3	1.6209344287025176
CPT1A	CREBBP	1.468212165251417
CPT1A	EP300	1.3208420495581619
CPT1A	FOXO1	1.2489691774725258
CPT1A	ATF4	1.94601431101285
CPT1A	ACSL1	1.8808543088672496
CPT1A	ACSL3	1.3416150498991046
CPT1A	ACSL4	1.3763990697386
CPT1A	ACSL6	1.9230856140420878
CPT1A	ACSL5	1.2468335467858207
CPT2	RXRA	1.403803000815793
ACADM	RXRA	1.2108831870797563
G6PC3	CRTC2	1.223117850449798
PCK2	RXRA	1.25406806398642
PCK2	PRKAG2	1.2891649751866643
PCK2	ATF2	1.3097492143825704
PCK2	CRTC2	1.2653218874488814
RXRA	CREBBP	1.2172172910250085
RXRA	EP300	1.3040469851964391
RXRA	HDAC1	1.2589276916601027
RXRA	HDAC2	1.3010690861805752
RXRA	NR4A1	1.2569734828527586
RXRA	NCOA1	1.225417018631291
RXRA	NCOR1	1.3783288000045517
RXRA	MED13L	1.4623598564322768
RXRA	MED4	1.2679403429784382
RXRA	MED30	1.2152305575677262
RXRA	MED27	1.3695395933614014
RXRA	MED13	1.2569798795208165
ILK	RXRA	1.375399118552456
ILK	PIK3R2	1.3743995565223308
ILK	PARVB	1.3758401102785924
